Name,Precursor_type,NCE,CE,Ion_mode,InChIKey,Formula,Ionization,PrecursorMZ,SMILES,RT,MSMS,intensity,TQ_CE
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,117.1,96.7,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,128.1,96.7,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,142.1,9.79,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,156.0,9.09,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,128.0,88.51,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,183.1,86.71,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,144.1,8.79,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,134.1,8.29,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,132.0,8.29,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,153.1,7.99,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,105.0,7.79,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,90.0,7.69,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,123.0,7.59,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,182.1,7.39,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,185.1,67.33,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,171.1,66.33,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,129.1,64.34,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,170.1,619.38,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,89.0,6.79,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,130.0,6.79,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,108.1,6.29,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,117.0,6.19,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,128.1,6.09,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,198.1,58.54,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,141.1,58.34,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,144.0,53.95,35
Tetrahydroharmine,[M+H-NH3]+,110.0,44.0,P,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,131.1,53.45,35
Tetrahydroharmine,[M-H-CH3]-,110.0,44.0,N,ZXLDQJLIBNPEFJ-UHFFFAOYSA-N,C13H16N2O,ESI,200.1,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC,10.44,170.1,506.09,35
